Extension,File_Size,Entropy,Mime_Type,Is_Executable,Threat
gif,7357143,1.29,image/gif,0,Benign
csv,6628617,2.82,text/csv,0,Benign
pptx,390662,1.29,application/vnd.ms-powerpoint,0,Benign
iso,46710424,5.34,application/x-iso9660-image,0,Suspicious
gif,1866482,1.23,image/gif,0,Benign
vbs,42395527,7.8,text/plain,1,Malware
png,4244867,1.43,image/png,0,Benign
pptx,2441794,3.5,application/vnd.ms-powerpoint,0,Benign
iso,12917180,6.23,application/x-iso9660-image,0,Suspicious
apk,2787892,7.65,application/vnd.android.package-archive,1,Malware
apk,40411041,7.17,application/vnd.android.package-archive,1,Malware
pdf,6792932,4.27,application/pdf,0,Benign
csv,207703,3,text/csv,0,Benign
gif,2287053,3.42,image/gif,0,Benign
iso,24517867,5.4,application/x-iso9660-image,0,Suspicious
jpg,2203945,2.53,image/jpeg,0,Benign
zip,20271062,6.25,application/zip,0,Suspicious
js,41677298,7.25,application/javascript,1,Malware
csv,1234081,4.58,text/csv,0,Benign
pdf,5800809,5.7,application/pdf,0,Benign
zip,55898148,5.97,application/zip,0,Suspicious
jar,10034857,6.86,application/java-archive,1,Malware
pdf,3109195,3.22,application/pdf,0,Benign
pdf,5542787,2.85,application/pdf,0,Benign
pdf,1496179,2.66,application/pdf,0,Benign
apk,23463632,7.39,application/vnd.android.package-archive,1,Malware
csv,6185427,4.39,text/csv,0,Benign
pdf,2626702,4.32,application/pdf,0,Benign
dll,20335413,6.64,application/x-msdownload,1,Malware
pdf,4895419,3.87,application/pdf,0,Benign
xlsm,25383094,4.87,application/vnd.ms-excel.sheet.macroEnabled.12,0,Suspicious
exe,21067607,7.37,application/x-dosexec,1,Malware
7z,50495797,5.4,application/x-7z-compressed,0,Suspicious
ps1,44376320,6.42,text/plain,1,Malware
gif,4480397,1.81,image/gif,0,Benign
csv,6316158,4.11,text/csv,0,Benign
gif,7774368,1.82,image/gif,0,Benign
apk,44792249,7.09,application/vnd.android.package-archive,1,Malware
txt,3421564,4.16,text/plain,0,Benign
7z,36810106,4.07,application/x-7z-compressed,0,Suspicious
7z,70273748,6.29,application/x-7z-compressed,0,Suspicious
docx,5444287,4.39,application/vnd.openxmlformats-officedocument.wordprocessingml.document,0,Benign
pptm,62681397,6.34,application/vnd.ms-powerpoint.presentation.macroEnabled.12,0,Suspicious
pptm,11776447,3.93,application/vnd.ms-powerpoint.presentation.macroEnabled.12,0,Suspicious
gif,1232449,2.84,image/gif,0,Benign
pptm,35290368,4.65,application/vnd.ms-powerpoint.presentation.macroEnabled.12,0,Suspicious
docx,6993548,4.15,application/vnd.openxmlformats-officedocument.wordprocessingml.document,0,Benign
xlsm,76666472,6.06,application/vnd.ms-excel.sheet.macroEnabled.12,0,Suspicious
iso,73755996,5.53,application/x-iso9660-image,0,Suspicious
scr,31760493,5.22,application/x-dosexec,1,Malware
jpg,7376743,2.93,image/jpeg,0,Benign
xlsm,36591303,4.42,application/vnd.ms-excel.sheet.macroEnabled.12,0,Suspicious
ps1,9198248,4.82,text/plain,1,Malware
xlsm,27016600,5.38,application/vnd.ms-excel.sheet.macroEnabled.12,0,Suspicious
txt,7666715,3.62,text/plain,0,Benign
rar,28009379,7.24,application/x-rar-compressed,0,Suspicious
exe,11350207,7.45,application/x-dosexec,1,Malware
apk,49350182,5.84,application/vnd.android.package-archive,1,Malware
7z,35088335,7.06,application/x-7z-compressed,0,Suspicious
ps1,25279046,5.8,text/plain,1,Malware
jpg,7676385,3.86,image/jpeg,0,Benign
zip,20277905,7.25,application/zip,0,Suspicious
pptm,38060958,4.91,application/vnd.ms-powerpoint.presentation.macroEnabled.12,0,Suspicious
pptx,7203180,1.32,application/vnd.ms-powerpoint,0,Benign
scr,25196843,6.3,application/x-dosexec,1,Malware
jpg,6537484,2.92,image/jpeg,0,Benign
gif,42371,4.67,image/gif,0,Benign
pdf,4694864,2.1,application/pdf,0,Benign
scr,30153241,6.35,application/x-dosexec,1,Malware
xlsx,7899761,4.74,application/vnd.ms-excel.sheet,0,Benign
7z,20949700,7.22,application/x-7z-compressed,0,Suspicious
scr,35819376,7.27,application/x-dosexec,1,Malware
vbs,38254899,6.71,text/plain,1,Malware
7z,72527130,6.73,application/x-7z-compressed,0,Suspicious
gif,2840518,1.65,image/gif,0,Benign
bat,7869013,7.7,text/plain,1,Malware
pptx,5472715,1.74,application/vnd.ms-powerpoint,0,Benign
png,6088326,3.1,image/png,0,Benign
csv,1237410,1.98,text/csv,0,Benign
pptm,7073059,4.81,application/vnd.ms-powerpoint.presentation.macroEnabled.12,0,Suspicious
iso,39538740,7.28,application/x-iso9660-image,0,Suspicious
pptm,78150907,7.32,application/vnd.ms-powerpoint.presentation.macroEnabled.12,0,Suspicious
zip,77892838,6.86,application/zip,0,Suspicious
gif,998805,1.45,image/gif,0,Benign
png,1628948,3.52,image/png,0,Benign
apk,4721879,4.95,application/vnd.android.package-archive,1,Malware
vbs,12678233,6.45,text/plain,1,Malware
jpg,1060471,3.57,image/jpeg,0,Benign
csv,4197337,4.63,text/csv,0,Benign
jar,42727822,7.98,application/java-archive,1,Malware
7z,76527486,6.79,application/x-7z-compressed,0,Suspicious
png,512633,4.7,image/png,0,Benign
pptm,23434272,6.45,application/vnd.ms-powerpoint.presentation.macroEnabled.12,0,Suspicious
apk,34923872,5.4,application/vnd.android.package-archive,1,Malware
bat,34923432,6.85,text/plain,1,Malware
pptm,68181546,5.74,application/vnd.ms-powerpoint.presentation.macroEnabled.12,0,Suspicious
iso,64767170,6.33,application/x-iso9660-image,0,Suspicious
scr,29367247,7.63,application/x-dosexec,1,Malware
docm,41292675,4.17,application/vnd.ms-word.document.macroEnabled.12,0,Suspicious
bat,43229830,6.33,text/plain,1,Malware
jar,24021860,7.78,application/java-archive,1,Malware
gif,6609168,4.65,image/gif,0,Benign
png,4772385,2.33,image/png,0,Benign
ps1,48363119,7.88,text/plain,1,Malware
bat,15508350,6.4,text/plain,1,Malware
txt,4111057,4.49,text/plain,0,Benign
pdf,5954874,1.61,application/pdf,0,Benign
vbs,10426148,7.55,text/plain,1,Malware
pptm,21855391,3.9,application/vnd.ms-powerpoint.presentation.macroEnabled.12,0,Suspicious
js,35315469,6.51,application/javascript,1,Malware
ps1,12631018,5.79,text/plain,1,Malware
bat,35951332,4.82,text/plain,1,Malware
pptx,2563324,4.35,application/vnd.ms-powerpoint,0,Benign
zip,21967870,5.56,application/zip,0,Suspicious
jpg,3395208,4.45,image/jpeg,0,Benign
js,43819227,5.94,application/javascript,1,Malware
iso,6135964,4.29,application/x-iso9660-image,0,Suspicious
bat,25367712,6.8,text/plain,1,Malware
pptx,4335372,4.16,application/vnd.ms-powerpoint,0,Benign
pdf,626201,1.37,application/pdf,0,Benign
gif,3337354,5.56,image/gif,0,Benign
exe,47629001,7.88,application/x-dosexec,1,Malware
csv,5167226,2.12,text/csv,0,Benign
docm,47514652,6.78,application/vnd.ms-word.document.macroEnabled.12,0,Suspicious
docx,7740599,5.72,application/vnd.openxmlformats-officedocument.wordprocessingml.document,0,Benign
pdf,5978299,1.49,application/pdf,0,Benign
pptx,5756353,2.05,application/vnd.ms-powerpoint,0,Benign
xlsm,58317680,4.44,application/vnd.ms-excel.sheet.macroEnabled.12,0,Suspicious
apk,26972651,7.47,application/vnd.android.package-archive,1,Malware
csv,2081941,3.91,text/csv,0,Benign
vbs,14989638,6.42,text/plain,1,Malware
ps1,35351749,6.93,text/plain,1,Malware
apk,40242601,6.9,application/vnd.android.package-archive,1,Malware
xlsm,63246783,6.42,application/vnd.ms-excel.sheet.macroEnabled.12,0,Suspicious
docx,3856258,6.02,application/vnd.openxmlformats-officedocument.wordprocessingml.document,0,Benign
txt,117595,1.94,text/plain,0,Benign
xlsx,604484,3.11,application/vnd.ms-excel.sheet,0,Benign
js,17944554,7.38,application/javascript,1,Malware
apk,39909408,6,application/vnd.android.package-archive,1,Malware
csv,1181853,5.67,text/csv,0,Benign
pptm,3328984,6.54,application/vnd.ms-powerpoint.presentation.macroEnabled.12,0,Suspicious
bat,97566,7.47,text/plain,1,Malware
txt,4385771,2.9,text/plain,0,Benign
apk,33347966,7.76,application/vnd.android.package-archive,1,Malware
jpg,3828769,3.04,image/jpeg,0,Benign
bat,8054727,6.01,text/plain,1,Malware
scr,16995415,6.71,application/x-dosexec,1,Malware
rar,75145930,4.07,application/x-rar-compressed,0,Suspicious
docm,54241161,7.36,application/vnd.ms-word.document.macroEnabled.12,0,Suspicious
pptm,45600812,5.55,application/vnd.ms-powerpoint.presentation.macroEnabled.12,0,Suspicious
iso,51258917,5.59,application/x-iso9660-image,0,Suspicious
gif,5628748,2.12,image/gif,0,Benign
ps1,32730,7.3,text/plain,1,Malware
png,7013624,2.7,image/png,0,Benign
jpg,6515851,2.82,image/jpeg,0,Benign
iso,25087805,7.43,application/x-iso9660-image,0,Suspicious
pptx,6217913,1.82,application/vnd.ms-powerpoint,0,Benign
png,1614675,4.74,image/png,0,Benign
docx,6251349,4.24,application/vnd.openxmlformats-officedocument.wordprocessingml.document,0,Benign
iso,60633929,3.83,application/x-iso9660-image,0,Suspicious
xlsx,2882887,3.37,application/vnd.ms-excel.sheet,0,Benign
xlsm,54381912,5.11,application/vnd.ms-excel.sheet.macroEnabled.12,0,Suspicious
js,42242047,6,application/javascript,1,Malware
vbs,38658957,5.32,text/plain,1,Malware
7z,5921448,5.25,application/x-7z-compressed,0,Suspicious
txt,924661,4.14,text/plain,0,Benign
docx,2619669,6.23,application/vnd.openxmlformats-officedocument.wordprocessingml.document,0,Benign
apk,700627,6.96,application/vnd.android.package-archive,1,Malware
scr,33517763,5.45,application/x-dosexec,1,Malware
txt,3369929,4.07,text/plain,0,Benign
scr,13440047,5.5,application/x-dosexec,1,Malware
vbs,46836529,5.98,text/plain,1,Malware
txt,2577248,2.99,text/plain,0,Benign
jpg,5118252,3.21,image/jpeg,0,Benign
pptx,6816099,2.71,application/vnd.ms-powerpoint,0,Benign
pdf,831575,3.98,application/pdf,0,Benign
ps1,25348503,6.51,text/plain,1,Malware
xlsm,36473478,6.69,application/vnd.ms-excel.sheet.macroEnabled.12,0,Suspicious
pptm,31250034,3.94,application/vnd.ms-powerpoint.presentation.macroEnabled.12,0,Suspicious
pptx,7897154,1.68,application/vnd.ms-powerpoint,0,Benign
png,3042394,2.23,image/png,0,Benign
exe,26631477,7.18,application/x-dosexec,1,Malware
docm,13333683,5.12,application/vnd.ms-word.document.macroEnabled.12,0,Suspicious
exe,4602225,5.11,application/x-dosexec,1,Malware
rar,9048759,7.15,application/x-rar-compressed,0,Suspicious
iso,34859473,5.51,application/x-iso9660-image,0,Suspicious
vbs,29845254,7.84,text/plain,1,Malware
docx,5160480,3.92,application/vnd.openxmlformats-officedocument.wordprocessingml.document,0,Benign
xlsm,47975463,6.44,application/vnd.ms-excel.sheet.macroEnabled.12,0,Suspicious
pptx,4217282,2.96,application/vnd.ms-powerpoint,0,Benign
pptx,5963534,6.08,application/vnd.ms-powerpoint,0,Benign
txt,7184442,2.19,text/plain,0,Benign
dll,29073304,7.8,application/x-msdownload,1,Malware
rar,74006748,5.11,application/x-rar-compressed,0,Suspicious
png,4000731,3.58,image/png,0,Benign
pptm,47657743,7.01,application/vnd.ms-powerpoint.presentation.macroEnabled.12,0,Suspicious
gif,6222644,4.02,image/gif,0,Benign
docx,974524,3.73,application/vnd.openxmlformats-officedocument.wordprocessingml.document,0,Benign
docm,56865679,5.43,application/vnd.ms-word.document.macroEnabled.12,0,Suspicious
ps1,8120314,6.06,text/plain,1,Malware
iso,42468867,5.34,application/x-iso9660-image,0,Suspicious
pptx,5293568,2.99,application/vnd.ms-powerpoint,0,Benign
pptm,17901612,7.29,application/vnd.ms-powerpoint.presentation.macroEnabled.12,0,Suspicious
gif,7016120,3.82,image/gif,0,Benign
png,6392938,2.78,image/png,0,Benign
jpg,3887849,3.05,image/jpeg,0,Benign
docx,5440846,1.94,application/vnd.openxmlformats-officedocument.wordprocessingml.document,0,Benign
7z,23810871,4.31,application/x-7z-compressed,0,Suspicious
exe,22585264,7.83,application/x-dosexec,1,Malware
vbs,45584976,6.97,text/plain,1,Malware
png,3357227,1.6,image/png,0,Benign
js,49023377,7.88,application/javascript,1,Malware
png,7112180,3.63,image/png,0,Benign
dll,35475079,6.15,application/x-msdownload,1,Malware
pptx,156905,1.66,application/vnd.ms-powerpoint,0,Benign
exe,40679254,6.31,application/x-dosexec,1,Malware
csv,3973765,2.22,text/csv,0,Benign
rar,72631826,6.85,application/x-rar-compressed,0,Suspicious
scr,37498425,7.92,application/x-dosexec,1,Malware
pptx,3778981,3.17,application/vnd.ms-powerpoint,0,Benign
ps1,28845886,4.85,text/plain,1,Malware
pptx,3141020,4.81,application/vnd.ms-powerpoint,0,Benign
xlsx,5365330,4.95,application/vnd.ms-excel.sheet,0,Benign
pdf,4571536,1.87,application/pdf,0,Benign
docx,368422,1.38,application/vnd.openxmlformats-officedocument.wordprocessingml.document,0,Benign
iso,13610200,5.2,application/x-iso9660-image,0,Suspicious
dll,39652530,7.39,application/x-msdownload,1,Malware
iso,10283679,6.04,application/x-iso9660-image,0,Suspicious
ps1,29138935,7.81,text/plain,1,Malware
7z,56462795,4.12,application/x-7z-compressed,0,Suspicious
scr,3230677,6.75,application/x-dosexec,1,Malware
gif,2019451,5.63,image/gif,0,Benign
7z,79478122,6.45,application/x-7z-compressed,0,Suspicious
xlsx,2422603,2.25,application/vnd.ms-excel.sheet,0,Benign
rar,49898046,6.52,application/x-rar-compressed,0,Suspicious
docx,6184791,5.6,application/vnd.openxmlformats-officedocument.wordprocessingml.document,0,Benign
gif,6522778,4.16,image/gif,0,Benign
xlsm,29977443,5.39,application/vnd.ms-excel.sheet.macroEnabled.12,0,Suspicious
scr,39258451,6.15,application/x-dosexec,1,Malware
pptx,6343832,2.27,application/vnd.ms-powerpoint,0,Benign
jar,35689073,7.04,application/java-archive,1,Malware
txt,3176766,2.61,text/plain,0,Benign
jpg,7785047,3.86,image/jpeg,0,Benign
ps1,47561548,6.93,text/plain,1,Malware
docx,7626058,1.89,application/vnd.openxmlformats-officedocument.wordprocessingml.document,0,Benign
7z,21426222,6.68,application/x-7z-compressed,0,Suspicious
scr,10233578,7.6,application/x-dosexec,1,Malware
csv,4219603,2.76,text/csv,0,Benign
txt,2018998,3.73,text/plain,0,Benign
pptm,25898722,5.89,application/vnd.ms-powerpoint.presentation.macroEnabled.12,0,Suspicious
gif,7937934,3.35,image/gif,0,Benign
gif,7573688,3.5,image/gif,0,Benign
pptm,39407986,5.67,application/vnd.ms-powerpoint.presentation.macroEnabled.12,0,Suspicious
gif,2221978,2.21,image/gif,0,Benign
pdf,2430613,3.39,application/pdf,0,Benign
docm,20997933,4.71,application/vnd.ms-word.document.macroEnabled.12,0,Suspicious
jpg,4317092,5.72,image/jpeg,0,Benign
ps1,28453317,6.03,text/plain,1,Malware
bat,48689582,7.81,text/plain,1,Malware
exe,41894973,6.25,application/x-dosexec,1,Malware
zip,51833078,6.25,application/zip,0,Suspicious
rar,30071658,5.89,application/x-rar-compressed,0,Suspicious
docm,45080639,4.24,application/vnd.ms-word.document.macroEnabled.12,0,Suspicious
scr,34963,7.59,application/x-dosexec,1,Malware
xlsx,3584527,2.5,application/vnd.ms-excel.sheet,0,Benign
jpg,7190053,1.27,image/jpeg,0,Benign
xlsx,6877238,3.34,application/vnd.ms-excel.sheet,0,Benign
xlsm,42017570,6.72,application/vnd.ms-excel.sheet.macroEnabled.12,0,Suspicious
gif,4958807,3.12,image/gif,0,Benign
pptx,712029,6.02,application/vnd.ms-powerpoint,0,Benign
xlsx,2353585,5.06,application/vnd.ms-excel.sheet,0,Benign
xlsm,36160570,5.91,application/vnd.ms-excel.sheet.macroEnabled.12,0,Suspicious
png,6000933,3.56,image/png,0,Benign
pptm,33417418,4.78,application/vnd.ms-powerpoint.presentation.macroEnabled.12,0,Suspicious
scr,24199590,5.71,application/x-dosexec,1,Malware
docx,3031271,3.84,application/vnd.openxmlformats-officedocument.wordprocessingml.document,0,Benign
xlsm,29329995,5.96,application/vnd.ms-excel.sheet.macroEnabled.12,0,Suspicious
xlsm,30484231,5.03,application/vnd.ms-excel.sheet.macroEnabled.12,0,Suspicious
jar,28396644,6.86,application/java-archive,1,Malware
pdf,5717540,2.35,application/pdf,0,Benign
zip,35884160,6.08,application/zip,0,Suspicious
xlsm,16916298,6.06,application/vnd.ms-excel.sheet.macroEnabled.12,0,Suspicious
csv,5589033,4.31,text/csv,0,Benign
jar,26035022,6.19,application/java-archive,1,Malware
pptx,261881,2.94,application/vnd.ms-powerpoint,0,Benign
bat,33333060,7.91,text/plain,1,Malware
rar,45913269,5.85,application/x-rar-compressed,0,Suspicious
apk,33509701,5.87,application/vnd.android.package-archive,1,Malware
exe,34093932,5.21,application/x-dosexec,1,Malware
js,7546443,6.98,application/javascript,1,Malware
ps1,134645,6.82,text/plain,1,Malware
csv,7604035,4.31,text/csv,0,Benign
docx,618482,4.9,application/vnd.openxmlformats-officedocument.wordprocessingml.document,0,Benign
xlsx,2248466,2.88,application/vnd.ms-excel.sheet,0,Benign
docx,4127683,2.71,application/vnd.openxmlformats-officedocument.wordprocessingml.document,0,Benign
jpg,3474212,5.38,image/jpeg,0,Benign
gif,6315965,2.31,image/gif,0,Benign
docm,38343518,6.43,application/vnd.ms-word.document.macroEnabled.12,0,Suspicious
pptx,2819920,2.2,application/vnd.ms-powerpoint,0,Benign
dll,19001990,5.49,application/x-msdownload,1,Malware
7z,11363102,6.42,application/x-7z-compressed,0,Suspicious
rar,42434626,6.03,application/x-rar-compressed,0,Suspicious
pdf,5753491,2.51,application/pdf,0,Benign
jar,13217874,6.4,application/java-archive,1,Malware
txt,6966038,4.47,text/plain,0,Benign
iso,68411124,4.83,application/x-iso9660-image,0,Suspicious
gif,680393,1.36,image/gif,0,Benign
rar,18872113,7.07,application/x-rar-compressed,0,Suspicious
js,49240285,6.41,application/javascript,1,Malware
xlsx,5522875,4.55,application/vnd.ms-excel.sheet,0,Benign
png,7016645,3.56,image/png,0,Benign
pdf,6812255,2.45,application/pdf,0,Benign
7z,11768903,7.12,application/x-7z-compressed,0,Suspicious
vbs,38532815,5.98,text/plain,1,Malware
zip,76047214,6.51,application/zip,0,Suspicious
xlsm,13722561,6.05,application/vnd.ms-excel.sheet.macroEnabled.12,0,Suspicious
gif,7047045,4.33,image/gif,0,Benign
dll,43658480,6.07,application/x-msdownload,1,Malware
7z,3041995,7.31,application/x-7z-compressed,0,Suspicious
gif,4657438,3.02,image/gif,0,Benign
dll,16033257,7.96,application/x-msdownload,1,Malware
png,2193051,2.15,image/png,0,Benign
jar,13574459,7.92,application/java-archive,1,Malware
zip,31223952,7.06,application/zip,0,Suspicious
xlsm,16111757,7.34,application/vnd.ms-excel.sheet.macroEnabled.12,0,Suspicious
ps1,6269412,6.5,text/plain,1,Malware
scr,46650382,5.32,application/x-dosexec,1,Malware
rar,59263990,4.68,application/x-rar-compressed,0,Suspicious
png,717783,4.52,image/png,0,Benign
bat,29035196,7.99,text/plain,1,Malware
js,18113596,5.06,application/javascript,1,Malware
xlsm,36104533,4.53,application/vnd.ms-excel.sheet.macroEnabled.12,0,Suspicious
txt,2457807,3.75,text/plain,0,Benign
xlsx,2201051,5.37,application/vnd.ms-excel.sheet,0,Benign
xlsx,2340237,4.36,application/vnd.ms-excel.sheet,0,Benign
pptx,384368,2.27,application/vnd.ms-powerpoint,0,Benign
dll,31201917,6.13,application/x-msdownload,1,Malware
zip,31342038,6.44,application/zip,0,Suspicious
docm,32074560,4.59,application/vnd.ms-word.document.macroEnabled.12,0,Suspicious
txt,644677,3.07,text/plain,0,Benign
docx,2096750,3.16,application/vnd.openxmlformats-officedocument.wordprocessingml.document,0,Benign
apk,42857378,6.21,application/vnd.android.package-archive,1,Malware
bat,9702414,6.08,text/plain,1,Malware
xlsx,6889912,5.88,application/vnd.ms-excel.sheet,0,Benign
pdf,6201628,4.7,application/pdf,0,Benign
gif,451595,4.87,image/gif,0,Benign
docx,1728165,3.88,application/vnd.openxmlformats-officedocument.wordprocessingml.document,0,Benign
docm,24497993,4.43,application/vnd.ms-word.document.macroEnabled.12,0,Suspicious
scr,26186001,6.94,application/x-dosexec,1,Malware
dll,30954336,7.44,application/x-msdownload,1,Malware
zip,27554831,7.11,application/zip,0,Suspicious
bat,23674681,6.36,text/plain,1,Malware
xlsx,297552,1.83,application/vnd.ms-excel.sheet,0,Benign
csv,4373238,4,text/csv,0,Benign
apk,9528591,6.52,application/vnd.android.package-archive,1,Malware
docm,69969088,6.19,application/vnd.ms-word.document.macroEnabled.12,0,Suspicious
docx,5539742,3.76,application/vnd.openxmlformats-officedocument.wordprocessingml.document,0,Benign
bat,22926788,7.88,text/plain,1,Malware
txt,3285585,1.58,text/plain,0,Benign
png,1840577,4.26,image/png,0,Benign
pptx,1819227,4.22,application/vnd.ms-powerpoint,0,Benign
txt,1682272,3.91,text/plain,0,Benign
ps1,9577217,7.77,text/plain,1,Malware
7z,31709532,7.3,application/x-7z-compressed,0,Suspicious
js,24561695,5.84,application/javascript,1,Malware
bat,32750216,7.95,text/plain,1,Malware
xlsm,29099138,5.77,application/vnd.ms-excel.sheet.macroEnabled.12,0,Suspicious
jar,4340138,5.96,application/java-archive,1,Malware
pdf,1716748,1.24,application/pdf,0,Benign
exe,45836107,6.09,application/x-dosexec,1,Malware
iso,54093803,6.94,application/x-iso9660-image,0,Suspicious
docm,66480782,4.53,application/vnd.ms-word.document.macroEnabled.12,0,Suspicious
txt,3943541,2.6,text/plain,0,Benign
docx,2590462,4.62,application/vnd.openxmlformats-officedocument.wordprocessingml.document,0,Benign
vbs,9796805,6.6,text/plain,1,Malware
pptx,936480,2.48,application/vnd.ms-powerpoint,0,Benign
gif,1211368,3.74,image/gif,0,Benign
bat,47710718,7.31,text/plain,1,Malware
pdf,3833513,3.04,application/pdf,0,Benign
exe,10068915,5.35,application/x-dosexec,1,Malware
txt,7835045,2.54,text/plain,0,Benign
js,42289076,7.57,application/javascript,1,Malware
xlsx,1616278,3.65,application/vnd.ms-excel.sheet,0,Benign
rar,53804151,7.11,application/x-rar-compressed,0,Suspicious
7z,8047525,6.97,application/x-7z-compressed,0,Suspicious
gif,1833789,4.54,image/gif,0,Benign
bat,7719485,5.62,text/plain,1,Malware
iso,46088510,5.04,application/x-iso9660-image,0,Suspicious
scr,33960570,7.7,application/x-dosexec,1,Malware
pptx,3187859,2.51,application/vnd.ms-powerpoint,0,Benign
xlsx,906266,2.65,application/vnd.ms-excel.sheet,0,Benign
jpg,6379967,3,image/jpeg,0,Benign
pdf,5355370,2.68,application/pdf,0,Benign
docm,52872467,7.17,application/vnd.ms-word.document.macroEnabled.12,0,Suspicious
docm,9215111,5.22,application/vnd.ms-word.document.macroEnabled.12,0,Suspicious
png,7729869,1.41,image/png,0,Benign
zip,39984692,6.28,application/zip,0,Suspicious
pptx,1811916,3.9,application/vnd.ms-powerpoint,0,Benign
xlsx,499732,1.45,application/vnd.ms-excel.sheet,0,Benign
pdf,7443151,4.58,application/pdf,0,Benign
png,7753581,4.54,image/png,0,Benign
7z,71205382,4.56,application/x-7z-compressed,0,Suspicious
apk,43197479,7.11,application/vnd.android.package-archive,1,Malware
docm,26079268,6.13,application/vnd.ms-word.document.macroEnabled.12,0,Suspicious
exe,15813104,6.85,application/x-dosexec,1,Malware
rar,59950383,6.45,application/x-rar-compressed,0,Suspicious
gif,3130026,1.91,image/gif,0,Benign
ps1,25222081,7.72,text/plain,1,Malware
rar,28521306,5.84,application/x-rar-compressed,0,Suspicious
js,26612322,7.51,application/javascript,1,Malware
csv,7591489,4.36,text/csv,0,Benign
csv,6271990,3.98,text/csv,0,Benign
pptm,66619761,5.37,application/vnd.ms-powerpoint.presentation.macroEnabled.12,0,Suspicious
xlsm,31231821,4.52,application/vnd.ms-excel.sheet.macroEnabled.12,0,Suspicious
dll,36034760,5.47,application/x-msdownload,1,Malware
7z,48008621,6.44,application/x-7z-compressed,0,Suspicious
ps1,18768811,6.63,text/plain,1,Malware
7z,14082478,6.75,application/x-7z-compressed,0,Suspicious
pptx,6354816,4.48,application/vnd.ms-powerpoint,0,Benign
csv,4628976,4.45,text/csv,0,Benign
zip,46844100,6.23,application/zip,0,Suspicious
pdf,515226,1.79,application/pdf,0,Benign
js,7019464,6.13,application/javascript,1,Malware
png,4613175,2.52,image/png,0,Benign
vbs,2820959,7.92,text/plain,1,Malware
pdf,2653064,3.23,application/pdf,0,Benign
pptx,657925,1.9,application/vnd.ms-powerpoint,0,Benign
vbs,15681429,6.03,text/plain,1,Malware
pdf,3011018,2.6,application/pdf,0,Benign
vbs,10943276,6.39,text/plain,1,Malware
xlsx,472521,1.75,application/vnd.ms-excel.sheet,0,Benign
csv,5147492,2.99,text/csv,0,Benign
jpg,119346,4.4,image/jpeg,0,Benign
xlsx,3974712,3.95,application/vnd.ms-excel.sheet,0,Benign
gif,2034082,3.49,image/gif,0,Benign
xlsm,40095929,6.6,application/vnd.ms-excel.sheet.macroEnabled.12,0,Suspicious
xlsx,12227,4.37,application/vnd.ms-excel.sheet,0,Benign
ps1,7242446,7.28,text/plain,1,Malware
rar,78886432,5.07,application/x-rar-compressed,0,Suspicious
scr,39160206,7.74,application/x-dosexec,1,Malware
xlsm,33276295,4.25,application/vnd.ms-excel.sheet.macroEnabled.12,0,Suspicious
dll,650191,7,application/x-msdownload,1,Malware
png,7738590,3.35,image/png,0,Benign
docm,24056462,5.54,application/vnd.ms-word.document.macroEnabled.12,0,Suspicious
ps1,26973904,7.5,text/plain,1,Malware
jpg,661842,1.22,image/jpeg,0,Benign
bat,33111899,6.87,text/plain,1,Malware
png,54403,1.41,image/png,0,Benign
csv,2918156,4.32,text/csv,0,Benign
docx,6149214,2.38,application/vnd.openxmlformats-officedocument.wordprocessingml.document,0,Benign
pdf,4034946,3.76,application/pdf,0,Benign
docm,37843450,4.72,application/vnd.ms-word.document.macroEnabled.12,0,Suspicious
rar,60396008,6,application/x-rar-compressed,0,Suspicious
txt,362713,2.12,text/plain,0,Benign
rar,11843256,5.15,application/x-rar-compressed,0,Suspicious
iso,79036423,6.7,application/x-iso9660-image,0,Suspicious
txt,7736038,2.77,text/plain,0,Benign
csv,1376506,5.45,text/csv,0,Benign
iso,31789424,5.83,application/x-iso9660-image,0,Suspicious
pdf,1666338,4.08,application/pdf,0,Benign
jpg,2063118,1.5,image/jpeg,0,Benign
pptm,6274821,7.14,application/vnd.ms-powerpoint.presentation.macroEnabled.12,0,Suspicious
pdf,4923165,4.34,application/pdf,0,Benign
vbs,14739295,6.05,text/plain,1,Malware
7z,66320112,5.27,application/x-7z-compressed,0,Suspicious
dll,10159700,7.8,application/x-msdownload,1,Malware
csv,3177683,3.49,text/csv,0,Benign
pptm,21193234,6.5,application/vnd.ms-powerpoint.presentation.macroEnabled.12,0,Suspicious
pdf,7404692,4.28,application/pdf,0,Benign
xlsx,219431,3.43,application/vnd.ms-excel.sheet,0,Benign
xlsm,9131391,4.81,application/vnd.ms-excel.sheet.macroEnabled.12,0,Suspicious
rar,78259308,6.09,application/x-rar-compressed,0,Suspicious
vbs,27779329,7.2,text/plain,1,Malware
iso,4455369,4.42,application/x-iso9660-image,0,Suspicious
dll,22423143,6.19,application/x-msdownload,1,Malware
docm,1517679,4.42,application/vnd.ms-word.document.macroEnabled.12,0,Suspicious
pptx,6893236,2.41,application/vnd.ms-powerpoint,0,Benign
zip,70583810,6.65,application/zip,0,Suspicious
pptx,4321873,5.88,application/vnd.ms-powerpoint,0,Benign
rar,7452928,5.75,application/x-rar-compressed,0,Suspicious
apk,24308662,7.78,application/vnd.android.package-archive,1,Malware
png,6864422,2.36,image/png,0,Benign
